capacity,service_rate,runtime,average_arrival_rate,utilization,average_size,idle_proportion,drop_proportion
10,1e+06,1000,499154,0.499154,0.992573,0.476722,0.000444751
10,1e+06,1000,601224,0.601224,1.46371,0.380879,0.00258245
10,1e+06,1000,700336,0.700336,2.12369,0.291093,0.00895548
10,1e+06,1000,797003,0.797003,2.92798,0.209642,0.0221631
10,1e+06,1000,896865,0.896865,3.95107,0.140575,0.0501584
10,1e+06,1000,997916,0.997916,4.99092,0.08684,0.0903854
10,1e+06,1000,1.09933e+06,1.09933,5.93135,0.0515436,0.139944
10,1e+06,1000,1.19461e+06,1.19461,6.66079,0.0307727,0.189287
10,1e+06,1000,1.2962e+06,1.2962,7.28353,0.0175447,0.242836
10,1e+06,1000,1.39982e+06,1.39982,7.77647,0.00946071,0.293041
10,1e+06,1000,1.50028e+06,1.50028,8.12735,0.00557155,0.33761
25,1e+06,1000,500167,0.500167,0.998859,0.475662,0
25,1e+06,1000,601722,0.601722,1.50675,0.379034,0
25,1e+06,1000,699776,0.699776,2.32007,0.285768,3.42378e-05
25,1e+06,1000,800867,0.800867,4.01598,0.190267,0.000921599
25,1e+06,1000,900077,0.900077,7.19771,0.101554,0.00759979
25,1e+06,1000,996345,0.996345,12.3145,0.0377138,0.0360443
25,1e+06,1000,1.10037e+06,1.10037,17.4186,0.00839808,0.0988506
25,1e+06,1000,1.20202e+06,1.20202,20.2824,0.00185938,0.169756
25,1e+06,1000,1.30057e+06,1.30057,21.7336,0.000202401,0.231136
25,1e+06,1000,1.39641e+06,1.39641,22.5264,3.79991e-05,0.283957
25,1e+06,1000,1.49761e+06,1.49761,22.9989,1.27466e-05,0.332844
50,1e+06,1000,502229,0.502229,1.00501,0.473623,0
50,1e+06,1000,597540,0.59754,1.47509,0.383011,0
50,1e+06,1000,698569,0.698569,2.31707,0.286876,0
50,1e+06,1000,797423,0.797423,3.89823,0.192757,1.00085e-05
50,1e+06,1000,899953,0.899953,8.68344,0.09569,0.000504717
50,1e+06,1000,1.00244e+06,1.00244,25.5285,0.0172823,0.0206139
50,1e+06,1000,1.09828e+06,1.09828,40.1572,0.000866624,0.091007
50,1e+06,1000,1.19662e+06,1.19662,44.9111,3.44746e-05,0.163982
50,1e+06,1000,1.30074e+06,1.30074,46.6965,9.91777e-07,0.231404
50,1e+06,1000,1.4028e+06,1.4028,47.5221,7.89134e-06,0.28663
50,1e+06,1000,1.50275e+06,1.50275,47.9736,1.51632e-07,0.334424
75,1e+06,1000,499491,0.499491,0.99893,0.476316,0
75,1e+06,1000,599665,0.599665,1.48724,0.38083,0
75,1e+06,1000,701677,0.701677,2.35954,0.283841,0
75,1e+06,1000,799426,0.799426,4.04632,0.190898,0
75,1e+06,1000,902338,0.902338,9.50015,0.0929919,5.32709e-05
75,1e+06,1000,1.00337e+06,1.00337,38.5331,0.0109284,0.0148211
75,1e+06,1000,1.0995e+06,1.0995,64.7822,3.83423e-05,0.0902852
75,1e+06,1000,1.1975e+06,1.1975,69.8609,2.44656e-06,0.163961
75,1e+06,1000,1.2969e+06,1.2969,71.6422,2.62863e-06,0.229049
75,1e+06,1000,1.40005e+06,1.40005,72.5033,8.004e-07,0.285324
75,1e+06,1000,1.49869e+06,1.49869,72.9794,1.96687e-06,0.332447
10,1e+06,2000,499531,0.499531,0.993002,0.476456,0.000501416
10,1e+06,2000,601991,0.601991,1.46611,0.380068,0.00247524
10,1e+06,2000,700226,0.700226,2.11207,0.290633,0.00820527
10,1e+06,2000,798295,0.798295,2.95915,0.209461,0.0235045
10,1e+06,2000,899925,0.899925,3.9613,0.138541,0.0506502
10,1e+06,2000,1.00182e+06,1.00182,5.01833,0.0856308,0.0924772
10,1e+06,2000,1.09952e+06,1.09952,5.92942,0.0508888,0.139495
10,1e+06,2000,1.20071e+06,1.20071,6.71061,0.0294481,0.193642
10,1e+06,2000,1.29888e+06,1.29888,7.31726,0.016379,0.243721
10,1e+06,2000,1.40014e+06,1.40014,7.77252,0.00933362,0.292793
10,1e+06,2000,1.49941e+06,1.49941,8.12076,0.00550401,0.336907
25,1e+06,2000,499948,0.499948,0.990643,0.475857,0
25,1e+06,2000,599758,0.599758,1.50502,0.380891,0
25,1e+06,2000,699950,0.69995,2.32993,0.285589,2.28444e-05
25,1e+06,2000,800204,0.800204,3.95409,0.190872,0.000916212
25,1e+06,2000,898426,0.898426,7.14918,0.102832,0.00744051
25,1e+06,2000,998858,0.998858,12.4251,0.0371544,0.0380891
25,1e+06,2000,1.10089e+06,1.10089,17.3888,0.00844721,0.100462
25,1e+06,2000,1.19876e+06,1.19876,20.1756,0.00177861,0.167249
25,1e+06,2000,1.30212e+06,1.30212,21.7177,0.000319727,0.232841
25,1e+06,2000,1.40127e+06,1.40127,22.5274,7.73984e-05,0.286435
25,1e+06,2000,1.49875e+06,1.49875,22.9796,1.07406e-05,0.33233
50,1e+06,2000,499884,0.499884,1.00026,0.476001,0
50,1e+06,2000,598301,0.598301,1.48592,0.38227,0
50,1e+06,2000,697934,0.697934,2.31148,0.287474,0
50,1e+06,2000,799767,0.799767,4.03942,0.190608,0
50,1e+06,2000,898296,0.898296,8.67726,0.0972348,0.000525264
50,1e+06,2000,998224,0.998224,24.7423,0.019811,0.0192585
50,1e+06,2000,1.10014e+06,1.10014,40.403,0.000791067,0.0915799
50,1e+06,2000,1.20004e+06,1.20004,45.0139,6.56064e-05,0.166585
50,1e+06,2000,1.30005e+06,1.30005,46.6817,2.77517e-06,0.231144
50,1e+06,2000,1.39721e+06,1.39721,47.4885,2.82992e-06,0.284166
50,1e+06,2000,1.50027e+06,1.50027,47.9994,2.11674e-06,0.333537
75,1e+06,2000,499603,0.499603,0.996956,0.476134,0
75,1e+06,2000,600700,0.6007,1.50949,0.37993,0
75,1e+06,2000,701111,0.701111,2.35645,0.284418,0
75,1e+06,2000,801114,0.801114,4.05226,0.189259,0
75,1e+06,2000,898147,0.898147,8.74666,0.0969504,3.33518e-05
75,1e+06,2000,999483,0.999483,36.8394,0.0126439,0.0127654
75,1e+06,2000,1.10178e+06,1.10178,65.0481,7.10548e-05,0.0924633
75,1e+06,2000,1.20136e+06,1.20136,70.0074,1.59438e-06,0.167622
75,1e+06,2000,1.30034e+06,1.30034,71.6483,3.57419e-06,0.230699
75,1e+06,2000,1.40123e+06,1.40123,72.4977,3.11051e-06,0.286108
75,1e+06,2000,1.50053e+06,1.50053,72.9999,2.15711e-06,0.333097
10,1e+06,3000,500533,0.500533,1.00015,0.475506,0.000511261
10,1e+06,3000,598557,0.598557,1.44979,0.38338,0.00246618
10,1e+06,3000,698615,0.698615,2.09354,0.292535,0.00865923
10,1e+06,3000,800412,0.800412,2.96711,0.207678,0.0235118
10,1e+06,3000,899283,0.899283,3.96552,0.138349,0.0500686
10,1e+06,3000,1.00074e+06,1.00074,5.00407,0.0857649,0.0914657
10,1e+06,3000,1.1003e+06,1.1003,5.93673,0.050853,0.14001
10,1e+06,3000,1.19916e+06,1.19916,6.7041,0.0294205,0.19221
10,1e+06,3000,1.29862e+06,1.29862,7.31709,0.0165989,0.24389
10,1e+06,3000,1.39771e+06,1.39771,7.77437,0.00941669,0.291958
10,1e+06,3000,1.49832e+06,1.49832,8.12346,0.00551113,0.336165
25,1e+06,3000,500317,0.500317,1.00123,0.475499,0
25,1e+06,3000,601598,0.601598,1.51486,0.379168,0
25,1e+06,3000,699776,0.699776,2.31773,0.285703,1.80788e-05
25,1e+06,3000,799012,0.799012,3.86201,0.191753,0.000686939
25,1e+06,3000,898939,0.898939,7.1084,0.102499,0.00747297
25,1e+06,3000,1.00088e+06,1.00088,12.5745,0.0358775,0.0387976
25,1e+06,3000,1.10161e+06,1.10161,17.3953,0.00862482,0.100462
25,1e+06,3000,1.19745e+06,1.19745,20.2332,0.00171501,0.166923
25,1e+06,3000,1.301e+06,1.301,21.699,0.000303068,0.231548
25,1e+06,3000,1.40094e+06,1.40094,22.5136,5.96183e-05,0.286397
25,1e+06,3000,1.5005e+06,1.5005,23.0092,1.05046e-05,0.333697
50,1e+06,3000,499684,0.499684,0.997645,0.476146,0
50,1e+06,3000,600281,0.600281,1.50302,0.380429,0
50,1e+06,3000,700328,0.700328,2.33946,0.28518,0
50,1e+06,3000,798139,0.798139,3.96773,0.192095,0
50,1e+06,3000,900726,0.900726,8.79301,0.0948353,0.000416535
50,1e+06,3000,999166,0.999166,24.8101,0.0189424,0.0193208
50,1e+06,3000,1.09846e+06,1.09846,40.1651,0.000868164,0.0906288
50,1e+06,3000,1.19899e+06,1.19899,44.9336,1.45961e-05,0.165864
50,1e+06,3000,1.29878e+06,1.29878,46.647,2.14536e-07,0.229658
50,1e+06,3000,1.39866e+06,1.39866,47.4896,1.83927e-08,0.28467
50,1e+06,3000,1.49889e+06,1.49889,47.9913,1.75118e-06,0.333033
75,1e+06,3000,500883,0.500883,1.00381,0.474977,0
75,1e+06,3000,598653,0.598653,1.48786,0.381918,0
75,1e+06,3000,701130,0.70113,2.34447,0.284416,0
75,1e+06,3000,801206,0.801206,4.04725,0.189197,0
75,1e+06,3000,899119,0.899119,8.98793,0.0960573,4.96552e-05
75,1e+06,3000,1.00011e+06,1.00011,37.4824,0.0121513,0.0129795
75,1e+06,3000,1.10022e+06,1.10022,65.1335,3.13767e-05,0.091244
75,1e+06,3000,1.20023e+06,1.20023,70.0268,7.97801e-06,0.166989
75,1e+06,3000,1.29685e+06,1.29685,71.5935,5.15077e-06,0.229339
75,1e+06,3000,1.39886e+06,1.39886,72.4917,4.51352e-06,0.285224
75,1e+06,3000,1.50161e+06,1.50161,73.0045,5.55188e-07,0.334233
